id,retailer_id,name,description,url,currency,price,is_hidden,is_sanctioned,max_available,availability,checkmark,whatsapp_product_can_appeal,videos,is_approved,approval_status,image_url,image_url2,image_url3,image_url4,image_url5,image_url6
"9366528960051508","","Vestido VERDE OLIVA um ombro só","","","BRL","200.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/9366528960051508_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/9366528960051508_2","","","",""
"26076618081954484","","Vestido AZUL SERENITY","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/26076618081954484_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/26076618081954484_2","","","",""
"25263814296588938","","VESTIDO FÚCSIA ombro a ombro","","","BRL","220.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25263814296588938_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25263814296588938_2","","","",""
"25668650602754100","","Vestido AZUL ROYAL","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25668650602754100_1","","","","",""
"25991940047070548","","Vestido DOURADO","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25991940047070548_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25991940047070548_2","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25991940047070548_3","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25991940047070548_4","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25991940047070548_5","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25991940047070548_6"
"25814587428171461","","Vestido PRETO","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25814587428171461_1","","","","",""
"24891038323932494","","Vestido Marron","","",,,"false","false","99","in stock","false","true","[object Object]","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/24891038323932494_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/24891038323932494_2","","","",""
"9207198176059410","","Vestido LILÁS de alças","Veste M","","BRL","200.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/9207198176059410_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/9207198176059410_2","","","",""
"24015465031373521","","Vestido ROSE","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/24015465031373521_1","","","","",""
"24781386021560538","","Vestido VERDE ESMERALDA um ombro","","","BRL","260.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/24781386021560538_1","","","","",""
"25309214752047468","","VESTIDO VERDE MENTA ombro a ombro","","","BRL","220.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25309214752047468_1","","","","",""
"25988472717454971","","Vestido FÚCSIA","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25988472717454971_1","","","","",""
"25696116846744391","","Vestido AZUL SERENITY","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25696116846744391_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25696116846744391_2","","","",""
"29346683528256218","","Vestido VERDE BANDEIRA","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/29346683528256218_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/29346683528256218_2","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/29346683528256218_3","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/29346683528256218_4","",""
"25367255286278171","","Vestido PRETO","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25367255286278171_1","","","","",""
"27915112234799140","","Vestido MARSALA com um ombro só ( acetinado)","Veste M","","BRL","250.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/27915112234799140_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/27915112234799140_2","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/27915112234799140_3","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/27915112234799140_4","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/27915112234799140_5",""
"25924790810461014","","Vestido AZUL ROYAL","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25924790810461014_1","","","","",""
"26605824492338455","","Vestido LILÁS","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/26605824492338455_1","","","","",""
"25436130982753220","","Vestido FÚCSIA","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25436130982753220_1","","","","",""
"33119393317704498","","Vestido ROSE","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/33119393317704498_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/33119393317704498_2","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/33119393317704498_3","","",""
"25637535892524481","","Vestido TERRACOTA","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25637535892524481_1","","","","",""
"9922473021101918","","Vestido MARSALA (paetê)","","","BRL","250.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/9922473021101918_1","","","","",""
"32884987724480402","","Vestido Marsala","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/32884987724480402_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/32884987724480402_2","","","",""
"25737185262542465","","Vestido AZUL ROYAL","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25737185262542465_1","","","","",""
"32786138690999725","","Vestido AZUL MARINHO de alças com fenda","","","BRL","290.00","false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/32786138690999725_1","","","","",""
"25733732772933071","","Vestido AZUL SERENITY","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25733732772933071_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25733732772933071_2","","","",""
"24629783470038653","","Vestido VERDE OLIVA ombro a ombro","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/24629783470038653_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/24629783470038653_2","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/24629783470038653_3","","",""
"33264508643194287","","Vestido Tomara que caia MARSALA (zibeline)","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/33264508643194287_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/33264508643194287_2","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/33264508643194287_3","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/33264508643194287_4","",""
"25909962508615249","","Vestido PRETO","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25909962508615249_1","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/25909962508615249_2","","","",""
"34189648500634377","","Vestido VERDE OLIVA","","",,,"false","false","99","in stock","false","true","","true","APPROVED","https://2chat-user-data.s3.amazonaws.com/w/p/559293531943/34189648500634377_1","","","","",""
